Identifier_String='characters',	File_Path And_Name='test/corpus/single-cr-as-whitespace.rb', 	Start_Point='(1:10)', 	End_Point='(1:20)'
Identifier_String='two',	File_Path And_Name='test/highlight/variables.rb', 	Start_Point='(3:4)', 	End_Point='(3:7)'

Identifier_String='three',	File_Path And_Name='test/highlight/variables.rb', 	Start_Point='(4:2)', 	End_Point='(4:7)'

Identifier_String='one',	File_Path And_Name='test/highlight/variables.rb', 	Start_Point='(4:10)', 	End_Point='(4:13)'

Identifier_String='four',	File_Path And_Name='test/highlight/variables.rb', 	Start_Point='(8:2)', 	End_Point='(8:6)'

Identifier_String='three',	File_Path And_Name='test/highlight/variables.rb', 	Start_Point='(8:9)', 	End_Point='(8:14)'

Identifier_String='four',	File_Path And_Name='test/highlight/variables.rb', 	Start_Point='(12:2)', 	End_Point='(12:6)'

Identifier_String='each',	File_Path And_Name='test/highlight/variables.rb', 	Start_Point='(12:7)', 	End_Point='(12:11)'

Identifier_String='i',	File_Path And_Name='test/highlight/variables.rb', 	Start_Point='(12:16)', 	End_Point='(12:17)'

Identifier_String='puts',	File_Path And_Name='test/highlight/variables.rb', 	Start_Point='(13:4)', 	End_Point='(13:8)'

Identifier_String='i',	File_Path And_Name='test/highlight/variables.rb', 	Start_Point='(13:9)', 	End_Point='(13:10)'

Identifier_String='three',	File_Path And_Name='test/highlight/variables.rb', 	Start_Point='(13:12)', 	End_Point='(13:17)'

Identifier_String='five',	File_Path And_Name='test/highlight/variables.rb', 	Start_Point='(13:19)', 	End_Point='(13:23)'

Identifier_String='four',	File_Path And_Name='test/highlight/variables.rb', 	Start_Point='(19:2)', 	End_Point='(19:6)'

Identifier_String='each',	File_Path And_Name='test/highlight/variables.rb', 	Start_Point='(19:7)', 	End_Point='(19:11)'

Identifier_String='a',	File_Path And_Name='test/highlight/variables.rb', 	Start_Point='(19:17)', 	End_Point='(19:18)'

Identifier_String='b',	File_Path And_Name='test/highlight/variables.rb', 	Start_Point='(19:20)', 	End_Point='(19:21)'

Identifier_String='c',	File_Path And_Name='test/highlight/variables.rb', 	Start_Point='(19:24)', 	End_Point='(19:25)'

Identifier_String='d',	File_Path And_Name='test/highlight/variables.rb', 	Start_Point='(19:27)', 	End_Point='(19:28)'

Identifier_String='e',	File_Path And_Name='test/highlight/variables.rb', 	Start_Point='(19:30)', 	End_Point='(19:31)'

Identifier_String='f',	File_Path And_Name='test/highlight/variables.rb', 	Start_Point='(19:34)', 	End_Point='(19:35)'

Identifier_String='puts',	File_Path And_Name='test/highlight/variables.rb', 	Start_Point='(26:4)', 	End_Point='(26:8)'

Identifier_String='a',	File_Path And_Name='test/highlight/variables.rb', 	Start_Point='(26:9)', 	End_Point='(26:10)'

Identifier_String='b',	File_Path And_Name='test/highlight/variables.rb', 	Start_Point='(26:12)', 	End_Point='(26:13)'

Identifier_String='c',	File_Path And_Name='test/highlight/variables.rb', 	Start_Point='(26:15)', 	End_Point='(26:16)'

Identifier_String='d',	File_Path And_Name='test/highlight/variables.rb', 	Start_Point='(26:18)', 	End_Point='(26:19)'

Identifier_String='e',	File_Path And_Name='test/highlight/variables.rb', 	Start_Point='(26:21)', 	End_Point='(26:22)'

Identifier_String='f',	File_Path And_Name='test/highlight/variables.rb', 	Start_Point='(26:24)', 	End_Point='(26:25)'

Identifier_String='five',	File_Path And_Name='test/highlight/variables.rb', 	Start_Point='(35:2)', 	End_Point='(35:6)'

Identifier_String='six',	File_Path And_Name='test/highlight/variables.rb', 	Start_Point='(38:2)', 	End_Point='(38:5)'

Identifier_String='seven',	File_Path And_Name='test/highlight/variables.rb', 	Start_Point='(38:10)', 	End_Point='(38:15)'

Identifier_String='eight',	File_Path And_Name='test/highlight/variables.rb', 	Start_Point='(38:19)', 	End_Point='(38:24)'

Identifier_String='seven',	File_Path And_Name='test/highlight/variables.rb', 	Start_Point='(38:25)', 	End_Point='(38:30)'

Identifier_String='five',	File_Path And_Name='test/highlight/variables.rb', 	Start_Point='(38:32)', 	End_Point='(38:36)'

Identifier_String='seven',	File_Path And_Name='test/highlight/variables.rb', 	Start_Point='(45:2)', 	End_Point='(45:7)'

